rotatividade,p_1ano,p_2anos,p_3anos,min,max
alta_rotatividade,0.494,0.743964,0.870445784,2,4
moderada_rotatividade,0.32,0.5376,0.685568,4,8
baixa_rotatividade,0.174,0.317724,0.436440024,12,18
