CNAE,Estoque,Admissoes,Desligamentos,Ano,Mes
961653,19832,18538,949088,2020,6
955130,7990,9740,947324,2020,6
164174,3322,3871,159299,2020,6
1194220,28212,32999,1161101,2020,6
4806781,176037,164441,4691420,2020,6
5390323,75078,86214,5428512,2020,6
982469,2596,3231,996742,2020,6
1908566,9245,32641,1879298,2020,6
2499288,63237,50342,2552472,2020,6
203,58,48,183,2020,6
1302742,16945,27392,1232143,2020,6
266757,1283,6381,232187,2020,6
1033870,15647,20977,997879,2020,6
2115,15,34,2077,2020,6
-60,0,0,-62,2020,6
39568756,1177122,1068651,38381138,2020,7
1520107,79419,58130,1588081,2020,7
7780799,215519,165358,7584349,2020,7
222128,4212,3330,223603,2020,7
7085654,204628,155078,6890786,2020,7
129964,1099,1064,130144,2020,7
343053,5580,5886,339816,2020,7
2093460,146161,106735,2105285,2020,7
8969082,259748,239182,8555285,2020,7
19205368,476275,499246,18548200,2020,7
2424831,62785,68452,2319011,2020,7
2005311,28813,59614,1614845,2020,7
8081958,279259,245927,7959991,2020,7
961653,23982,20495,954727,2020,7
955130,10473,10896,948489,2020,7
164174,4662,4341,160197,2020,7
1194220,38803,33597,1172993,2020,7
4806781,201339,176598,4723585,2020,7
5390323,83726,97804,5425656,2020,7
982469,2730,3158,996449,2020,7
1908566,13120,35752,1868862,2020,7
2499288,67876,58894,2560345,2020,7
203,53,45,220,2020,7
1302742,21639,27404,1228477,2020,7
266757,2506,5761,230021,2020,7
1033870,19113,21627,996375,2020,7
2115,20,16,2081,2020,7
-60,0,0,-62,2020,7
39568756,1328935,1114332,38680854,2020,8
1520107,71918,64312,1593395,2020,8
7780799,263715,173729,7695859,2020,8
222128,4518,3628,224495,2020,8
7085654,251133,163708,6999836,2020,8
129964,1185,1116,130299,2020,8
343053,6879,5277,341229,2020,8
2093460,158756,108760,2152129,2020,8
8969082,296482,252466,8621779,2020,8
19205368,538064,515065,18617754,2020,8
2424831,68540,70979,2327837,2020,8
2005311,42159,61995,1617296,2020,8
8081958,307490,255731,8024147,2020,8
961653,28002,22363,963440,2020,8
955130,12605,11440,949653,2020,8
164174,5025,4127,160529,2020,8
1194220,45841,33949,1185532,2020,8
4806781,216017,183852,4764993,2020,8
5390323,94117,96973,5418943,2020,8
982469,3409,3702,996259,2020,8
1908566,22570,33006,1857862,2020,8
2499288,68138,60265,2564822,2020,8
203,84,47,242,2020,8
1302742,25674,29340,1229289,2020,8
266757,3930,6096,230249,2020,8
1033870,21729,23233,996970,2020,8
2115,15,11,2070,2020,8
-60,0,0,-62,2020,8
