secao_letra,secao_descricao,cnae,descricao_cnae,,,,,,,secao_letra
B,Indústrias extrativas,07.24-3,Extração de minério de metais preciosos,,,,,,,B
B,Indústrias extrativas,07.25-1,Extração de minerais radioativos,,,,,,,B
B,Indústrias extrativas,07.29-4,Extração de minerais metálicos não-ferrosos não especificados anteriormente,,,,,,,B
B,Indústrias extrativas,08.10-0,"Extração de pedra, areia e argila",,,,,,,B
B,Indústrias extrativas,08.91-6,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",,,,,,,B
B,Indústrias extrativas,08.92-4,Extração e refino de sal marinho e sal-gema,,,,,,,B
B,Indústrias extrativas,08.93-2,Extração de gemas (pedras preciosas e semipreciosas),,,,,,,B
B,Indústrias extrativas,08.99-1,Extração de minerais não-metálicos não especificados anteriormente,,,,,,,B
B,Indústrias extrativas,08.99-1,Extração de minerais não-metálicos não especificados anteriormente,,,,,,,B
B,Indústrias extrativas,09.10-6,Atividades de apoio à extração de petróleo e gás natural,,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
B,Indústrias extrativas,09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",,,,,,,B
C,Indústrias de transformação,10.11-2,"Abate de reses, exceto suínos",,,,,,,C
C,Indústrias de transformação,10.12-1,"Abate de suínos, aves e outros pequenos animais",,,,,,,C
C,Indústrias de transformação,10.12-1,"Abate de suínos, aves e outros pequenos animais",,,,,,,C
C,Indústrias de transformação,10.13-9,Fabricação de produtos de carne,,,,,,,C
C,Indústrias de transformação,10.20-1,Preservação do pescado e fabricação de produtos do pescado,,,,,,,C
C,Indústrias de transformação,10.31-7,Fabricação de conservas de frutas,,,,,,,C
C,Indústrias de transformação,10.32-5,Fabricação de conservas de legumes e outros vegetais,,,,,,,C
C,Indústrias de transformação,10.33-3,"Fabricação de sucos de frutas, hortaliças e legumes",,,,,,,C
C,Indústrias de transformação,10.33-3,"Fabricação de sucos de frutas, hortaliças e legumes",,,,,,,C
C,Indústrias de transformação,10.41-4,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",,,,,,,C
C,Indústrias de transformação,10.42-2,"Fabricação de óleos vegetais refinados, exceto óleo de milho",,,,,,,C
C,Indústrias de transformação,10.43-1,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,,,,,,,C
C,Indústrias de transformação,10.51-1,Preparação do leite,,,,,,,C
C,Indústrias de transformação,10.52-0,Fabricação de laticínios,,,,,,,C
C,Indústrias de transformação,10.53-8,Fabricação de sorvetes e outros gelados comestíveis,,,,,,,C
C,Indústrias de transformação,10.61-9,Beneficiamento de arroz e fabricação de produtos do arroz,,,,,,,C
C,Indústrias de transformação,10.62-7,Moagem de trigo e fabricação de derivados,,,,,,,C
C,Indústrias de transformação,10.63-5,Fabricação de farinha de mandioca e derivados,,,,,,,C
C,Indústrias de transformação,10.64-3,"Fabricação de farinha de milho e derivados, exceto óleos de milho",,,,,,,C
C,Indústrias de transformação,10.65-1,Fabricação de amidos e féculas de vegetais e de óleos de milho,,,,,,,C
C,Indústrias de transformação,10.66-0,Fabricação de alimentos para animais,,,,,,,C
C,Indústrias de transformação,10.69-4,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,,,,,,,C
