personid,contractid,cnae_section,porte,PV,n,CDI_anual,Funding,Custo_Operacional,Margem,R_base_anual,delay,p_rot_m,h_close,h_turnover,h_default,h_delay,S_n,P_default_total,P_delay_total,EPV_surv,EPV_delay,EPV_default,Expected_payments,Mean_time_to_event,E_Duration,LGD_ponderado,PMT_base,PMT_risco,spread_valor,r_tar_m,r_min_m,spread,R_min_anual,spread_anual,calc_time_s
17335641.0,35405897.0,F,DEMAIS,1552.94,18,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,3,0.0642,0.004518974797069086,0.04669949679696767,0.004669949679696767,0.04202954711727091,0.42280177393094837,0.0577198226069051,0.519478403462146,685.6241765808401,817.5872927674761,49.72853065168364,12.359838235056316,4.74940630429924,18.994419033892058,0.028796838865530847,101.5418473985578,106.03267221112893,4.49082481257112,0.017744849287870457,0.02267086981852607,0.004926020530655613,0.30867144417213566,0.07367144417213564,0.004128694534301758
17423355.0,35723866.0,K,DEMAIS,5166.69,18,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,14,0.0164,0.004518974797069086,0.015294061413865613,0.0015294061413865614,0.013764655272479052,0.7577361856272138,0.02422638143727868,0.21803743293550815,4058.4777021705045,1034.0641297575612,74.14816807193448,15.840384566074135,2.2011332247842925,20.836562517704536,0.01117864886066639,337.8335592718679,350.21562692764803,12.382067655780133,0.017744849287870457,0.021835481237447576,0.004090631949577119,0.29590075715169606,0.060900757151696044,0.003978252410888672
17086521.0,34892041.0,K,DEMAIS,2670.2,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,14,0.0164,0.004518974797069086,0.015294061413865613,0.0015294061413865614,0.013764655272479052,0.8311486139264318,0.016885138607356864,0.1519662474662118,2276.9519166462746,367.2777986827264,25.970284670998282,11.04032352848327,1.0665401613660923,14.0315598173753,0.007757196161488113,249.0090904768627,255.47392772459898,6.464837247736284,0.017744849287870457,0.02191627944370134,0.004171430155830883,0.29713092001215347,0.06213092001215345,0.0009942054748535156
14963212.0,36805080.0,K,DEMAIS,1272.78,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,14,0.0164,0.004518974797069086,0.015294061413865613,0.0015294061413865614,0.013764655272479052,0.8311486139264318,0.016885138607356864,0.1519662474662118,1085.3340051191096,175.0669749859189,12.379019894971613,11.04032352848327,1.0665401613660923,14.0315598173753,0.0077571961614881155,118.69290321966196,121.77443851745755,3.0815352977955968,0.017744849287870457,0.021916279443701375,0.004171430155830918,0.29713092001215347,0.06213092001215345,0.002022266387939453
17105666.0,34474683.0,K,DEMAIS,2573.13,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,14,0.0164,0.004518974797069086,0.015294061413865613,0.0015294061413865614,0.013764655272479052,0.8311486139264318,0.016885138607356864,0.1519662474662118,2194.1776965321073,353.9261186894181,25.026184778475706,11.04032352848327,1.0665401613660923,14.0315598173753,0.007757196161488113,239.95684255064407,246.1866630387228,6.22982048807873,0.017744849287870457,0.021916279443701368,0.004171430155830911,0.29713092001215347,0.06213092001215345,0.003184795379638672
15938087.0,36720613.0,K,DEMAIS,3086.58,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,14,0.0164,0.004518974797069086,0.015294061413865613,0.0015294061413865614,0.013764655272479052,0.8311486139264318,0.016885138607356864,0.1519662474662118,2632.010428762663,424.549587243701,30.019983993637137,11.04032352848327,1.0665401613660923,14.0315598173753,0.007757196161488117,287.838543361574,295.31148072660966,7.472937365035648,0.017744849287870457,0.021916279443701468,0.0041714301558310116,0.2971309200121568,0.06213092001215678,0.0010037422180175781
8278765.0,33840501.0,K,DEMAIS,2584.76,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,14,0.0164,0.004518974797069086,0.015294061413865613,0.0015294061413865614,0.013764655272479052,0.8311486139264318,0.016885138607356864,0.1519662474662118,2204.0949127670688,355.5257894251981,25.13929780773333,11.04032352848327,1.0665401613660923,14.0315598173753,0.007757196161488113,241.04139641261918,247.29937436350627,6.257977950887096,0.017744849287870457,0.02191627944370129,0.004171430155830835,0.29713092001215347,0.06213092001215345,0.0
17178654.0,34774666.0,Q,DEMAIS,2826.29,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,9,0.0268,0.004518974797069086,0.02212704317085853,0.002212704317085853,0.019914338853772678,0.7645206670678074,0.02354793329321922,0.211931399638973,2221.6969394722164,566.5855547509427,38.00750577684124,10.64215092427352,1.467902919459831,13.771597689178106,0.010946639449630894,263.565239429201,270.9985687057115,7.433329276510506,0.017744849287870457,0.022273636494350692,0.004528787206480235,0.3025845736130477,0.06758457361304768,0.0
14331880.0,34680228.0,Q,DEMAIS,2576.34,12,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,9,0.0268,0.004518974797069086,0.02212704317085853,0.002212704317085853,0.019914338853772678,0.7645206670678074,0.02354793329321922,0.211931399638973,2025.2156335831958,516.4781491379312,34.646217278873436,10.64215092427352,1.467902919459831,13.771597689178106,0.010946639449630898,240.25619060713075,247.03213488328257,6.775944276151819,0.017744849287870457,0.022273636494350744,0.004528787206480287,0.3025845736130477,0.06758457361304768,0.0
17350997.0,35419165.0,Q,DEMAIS,10341.06,24,0.14,0.17500000000000002,0.02,0.04,0.23500000000000001,9,0.0268,0.004518974797069086,0.02212704317085853,0.002212704317085853,0.019914338853772678,0.584491850373805,0.04155081496261942,0.3739573346635747,6343.418171903196,3743.165506309264,254.47632178754196,18.778295247935397,4.750490838964065,26.843445536765692,0.01993182491259372,532.8756783638912,559.2496518522368,26.37397348834554,0.017744849287870457,0.022006558045385892,0.004261708757515435,0.2985066892403476,0.06350668924034761,0.016430377960205078
